nameseq,k1,k2,k3,label
Zosma02g04260.1,1.987914009519361,3.8952118672187273,5.713803646346962,1
Zosma03g17150.1,1.9802115205140307,3.9331745827883844,5.856327770635161,1
Zosma50g00030.1,1.9996194113905648,3.959637491880258,5.832985903033427,1
Zosma03g28050.1,1.9743178787471825,3.9114551510903057,5.826661165746344,1
Zosma03g25970.1,1.958625930734631,3.8828108899116685,5.754293723765118,1
Zosma03g31360.1,1.9632488860583206,3.8525615145036687,5.626033722790927,1
Zosma03g26890.1,1.995750245036592,3.9699675481968075,5.907336624698843,1
Zosma01g26500.1,1.998992699832446,3.980834217017308,5.937365744398258,1
Zosma01g33780.1,1.9824189144856577,3.9269893201624906,5.85423123633516,1
Zosma04g15900.1,1.9923143983917466,3.9301639993103232,5.836916098596035,1
Zosma02g14850.1,1.9792916733877308,3.9369211094135412,5.837335760190086,1
Zosma04g25280.1,1.9638748862890945,3.892012286792975,5.806504420201956,1
Zosma01g35150.1,1.9934769885999877,3.9412431178315663,5.814213820911052,1
Zosma01g36920.1,1.997474878148278,3.976075683873943,5.928818491637177,1
Zosma07g04550.1,1.9773208332220147,3.8925572923508356,5.767057527632222,1
Zosma07g03300.1,1.9714942668531446,3.924811187580988,5.850154030142682,1
Zosma05g09940.1,1.9902138991390488,3.916728074467507,5.799661597224568,1
Zosma01g22950.1,1.9895599264322137,3.9302126475408024,5.777179525591358,1
Zosma03g34560.1,1.9681872657791206,3.909070370771275,5.838864511111667,1
Zosma03g17740.1,1.9733382132753308,3.9016356299514348,5.815144311775343,1
Zosma05g23710.1,1.9849647040294918,3.953839972448228,5.879654213791674,1
Zosma01g20290.1,1.9871522490453555,3.947771987370196,5.869817710956644,1
Zosma05g00720.1,1.99107239576669,3.9374876455383387,5.8597279939791225,1
Zosma04g14530.1,1.970181101163254,3.907504073789788,5.821921565570512,1
Zosma01g21040.1,1.9762571815609902,3.916557722872728,5.8462094307560655,1
Zosma02g21780.1,1.9743563697173405,3.9046402949568297,5.81195899921289,1
Zosma05g29510.1,1.9815105730770397,3.937931461656135,5.820194481905796,1
Zosma06g27090.1,1.9955136648437888,3.9712895095896075,5.9116315414779415,1
Zosma04g12650.1,1.9543259444536845,3.8098795259572595,5.548842934614734,1
Zosma05g07750.1,1.9706213466653124,3.8851393341667726,5.762593044739352,1
Zosma02g01290.1,1.9622339093340737,3.8987571155987943,5.814890306078725,1
Zosma05g17620.1,1.9315892222050413,3.727071349871951,5.422865526204792,1
Zosma06g15610.1,1.9277141273223446,3.7323829708325102,5.338351020996427,1
Zosma03g07860.1,1.942618606151195,3.825135531365472,5.662017196888067,1
Zosma528g00010.1,1.9518060667335249,3.8749183898209587,5.751458485167348,1
Zosma05g15730.1,1.9235838177681,3.7759447580952354,5.555625545894432,1
Zosma02g18730.1,1.9763751551364075,3.9221111241647018,5.84871435814349,1
Zosma01g11530.1,1.9706320940821902,3.9123884560586637,5.811721051359039,1
Zosma05g08740.1,1.992316249776179,3.942649936642879,5.865546127386689,1
Zosma05g09270.1,1.974265357397191,3.8216160791701532,5.510419341126724,1
Zosma03g17930.1,1.9565903808980951,3.8610929475098636,5.712550863679661,1
Zosma05g13740.1,1.9620317996395251,3.89997587979734,5.799610300953841,1
